draw_no,date,querystring,weekday,year,week_no,prize,number,prize_type
4323,2018-09-30,sppl=RHJhd051bWJlcj00MzIz,Sun,2018,39,first_prize,1646,1st
4322,2018-09-29,sppl=RHJhd051bWJlcj00MzIy,Sat,2018,38,first_prize,1490,1st
4321,2018-09-26,sppl=RHJhd051bWJlcj00MzIx,Wed,2018,38,first_prize,3141,1st
4320,2018-09-23,sppl=RHJhd051bWJlcj00MzIw,Sun,2018,38,first_prize,5917,1st
4319,2018-09-22,sppl=RHJhd051bWJlcj00MzE5,Sat,2018,37,first_prize,7338,1st
4318,2018-09-19,sppl=RHJhd051bWJlcj00MzE4,Wed,2018,37,first_prize,939,1st
4317,2018-09-16,sppl=RHJhd051bWJlcj00MzE3,Sun,2018,37,first_prize,7127,1st
4316,2018-09-15,sppl=RHJhd051bWJlcj00MzE2,Sat,2018,36,first_prize,3444,1st
4315,2018-09-12,sppl=RHJhd051bWJlcj00MzE1,Wed,2018,36,first_prize,4281,1st
4314,2018-09-09,sppl=RHJhd051bWJlcj00MzE0,Sun,2018,36,first_prize,4185,1st
4313,2018-09-08,sppl=RHJhd051bWJlcj00MzEz,Sat,2018,35,first_prize,8421,1st
4312,2018-09-05,sppl=RHJhd051bWJlcj00MzEy,Wed,2018,35,first_prize,3742,1st
4311,2018-09-02,sppl=RHJhd051bWJlcj00MzEx,Sun,2018,35,first_prize,5633,1st
4310,2018-09-01,sppl=RHJhd051bWJlcj00MzEw,Sat,2018,34,first_prize,3804,1st
4309,2018-08-29,sppl=RHJhd051bWJlcj00MzA5,Wed,2018,34,first_prize,1630,1st
4308,2018-08-26,sppl=RHJhd051bWJlcj00MzA4,Sun,2018,34,first_prize,232,1st
4307,2018-08-25,sppl=RHJhd051bWJlcj00MzA3,Sat,2018,33,first_prize,6002,1st
4306,2018-08-22,sppl=RHJhd051bWJlcj00MzA2,Wed,2018,33,first_prize,5518,1st
4305,2018-08-19,sppl=RHJhd051bWJlcj00MzA1,Sun,2018,33,first_prize,2653,1st
4304,2018-08-18,sppl=RHJhd051bWJlcj00MzA0,Sat,2018,32,first_prize,1695,1st
4303,2018-08-15,sppl=RHJhd051bWJlcj00MzAz,Wed,2018,32,first_prize,5521,1st
4302,2018-08-12,sppl=RHJhd051bWJlcj00MzAy,Sun,2018,32,first_prize,2545,1st
4301,2018-08-11,sppl=RHJhd051bWJlcj00MzAx,Sat,2018,31,first_prize,9532,1st
4300,2018-08-08,sppl=RHJhd051bWJlcj00MzAw,Wed,2018,31,first_prize,7943,1st
4299,2018-08-05,sppl=RHJhd051bWJlcj00Mjk5,Sun,2018,31,first_prize,6002,1st
4298,2018-08-04,sppl=RHJhd051bWJlcj00Mjk4,Sat,2018,30,first_prize,9815,1st
4297,2018-08-01,sppl=RHJhd051bWJlcj00Mjk3,Wed,2018,30,first_prize,4337,1st
4296,2018-07-29,sppl=RHJhd051bWJlcj00Mjk2,Sun,2018,30,first_prize,8988,1st
